Pillar,Phase,Theme,Sub-topic,Description,Guidance,Unit,Main sources of information,Examples
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Administrative Boundaries,,"Terrain/Elevation, COD/FOD layers",,,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Climate/Precipitation ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Hazard prone areas ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Population Density,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Demography,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Socio-Economic profile,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population profile,Humanitarian profile,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Banks and financial institutions,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Communication channels,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Industrial sites,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Market location and flows,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Electricity supply networks,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Mobile phone/internet use ,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Health Facilities,,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Schools,,,,,
Crisis scope and scale/Humanitarian outcomes,Preparedness/Pre-crisis,Lessons Learned,Previous earthquakes,,"Incl. needs from previous disasters, Operational lessons learnt from other earthquakes",,,
Crisis scope and scale,In-crisis,Population profile,Humanitarian profile ,,,,,
Crisis scope and scale,In-crisis,Population profile,Identification of open areas for aid infrastructure,,,,,
Crisis scope and scale,In-crisis,Population profile,Geographic areas affected,,Type of areas affected (urban/rural etc.),,,
Crisis scope and scale,In-crisis,Population profile,# and location of people affected,,,,,
Crisis scope and scale,In-crisis,Population profile,# and location of buildings damaged or destroyed,,,,,
Crisis scope and scale,In-crisis,Population profile,# and location of those displaced,,,,,
Crisis scope and scale,In-crisis,Population profile,"# and % of functional markets, ",,,,,
Crisis scope and scale,In-crisis,Population profile,# and % of affected people without access to essential food and non-food items in markets,,,,,
Crisis scope and scale,In-crisis,Population profile,"# of people who have lost mobile phone, internet and tv covera",,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Seasonal Calendar,"Calendar which outlines the major seasonal hazards (e.g. floods), crop calendar, start school year etc.","Select relevant events (crop calendar, seosonal hazards, school year, national holidays) and plot on calendar",N/A,"WFP - Seasonal and Hazards Calendar, FAO GIEWS,",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Prices of main food and non-food items,Prices of main staples (e.g. rice) and non-consumables (e.g. fuel).,Select most relevant commodities. Look for 3-5 year price averages as prices normally vary throughout a year and between years due to seasonal patterns and changes in production.,By item per month,"WFP - Food and Commodity Prices Data Store: http://foodprices.vam.wfp.org/Default.aspx, Government Central Bureau of Statistics",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Percentage of Households by duration of staple food stock,Percentage of households that have stocks of staple food to feed their family or have the capacity to access food stocks for a given duration of time.,"Select most relevant staple food item. Look for information on the number of months average stocks last in the relevant period of the year. Timing is very relevant when collecting this information, as food stocks can be highly dependent on the phase of the crop cycle (e.g. before or after harvest).",Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",https://www.humanitarianresponse.info/en/applications/ir/indicator/f-11
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Harvest in MT by crop and location,Quantity harvest of main staple food or cash crops,Select commodities most relevant for households consumption and income. Look for information on the MT produced by area before the crisis. Look for 3-5 year averages.,MT,"FAO GIEWS, Ministry of Agriculture",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Reported disease outbreaks,Deleted,,,,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Food preparation customs,"Common ways of preparing food, including type of cooking utensils, food hygiene, type of fuel, food etc.",Look for reports on when and when and how households prepare food.,,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Main food sources,"Sources for obtaining food, which could include food purchase, food production, borrowed food, food aid, gifts, barter or wild foods",Look for main sources of food PRE-CRISIS in recent food security assessments or multi-sectoral assessments.,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,"Main source of income
","Income derived from any given
 source. Example of sources of income can include crop production, wage labour, trading, livestock, fishery, exploitation of
 natural resources, salary and remittances.",Look for recent PRE-CRISIS assessments on the average duration of food stock for the current period of the year and upcoming months,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,Main sources of expenditure ,Look for recent PRE-CRISIS assessments on the main expenditures by household. Compare pre-crisis to in-crisis information.,Household,"WFP Assessment Bank, Household Economy Assessments, Food Security Cluster, Joint Food Security Assessments",,
Crisis scope and scale,Preparedness/Pre-crisis,Food Security,"Outbreak of animal diseases
","Number of animal disease outbreaks in a community or in any given
 geographical area, in a specified time period.","Look for reports of animal diseases present in the affected area, areas where IDPs settle or surroundings.",,"WHO GLEWS - http://www.who.int/zoonoses/outbreaks/glews/en/, FAO - http://www.fao.org/emergencies/countries/en/",
Crisis scope and scale,In-crisis,Food Security,Seasonal Calendar,"Calendar which outlines the major seasonal hazards (e.g. floods), crop calendar, start school year etc.","Select relevant events (crop calendar, seosonal hazards, school year, national holidays) and plot on calendar",N/A,"WFP - Seasonal and Hazards Calendar, FAO GIEWS,",
Crisis scope and scale,In-crisis,Food Security,Prices of main food and non-food items,Prices of main staples (e.g. rice) and non-consumables (e.g. fuel).,"Select most relevant commodities. Look for information on the price of relevant goods since the crisis. If relevant, for the differences between prices on the informal and formal market.",By item per month,"WFP - Food and Commodity Prices Data Store: http://foodprices.vam.wfp.org/Default.aspx, Government Central Bureau of Statistics",
Crisis scope and scale,In-crisis,Food Security,Percentage of Households by duration of staple food stock,Percentage of households that have stocks of staple food to feed their family or have the capacity to access food stocks for a given duration of time.,,Households,"WFP, FAO, Government Central Bureau of Statistics",https://www.humanitarianresponse.info/en/applications/ir/indicator/f-11
Crisis scope and scale,In-crisis,Food Security,Harvest in MT by crop and location,Quantity harvest main staple food or cash crops,Select commodities most relevant for households consumption and income. Look for information on the MT produced by area since the on-set of the crisis,MT,"FAO GIEWS, Ministry of Agriculture",
Crisis scope and scale,In-crisis,Food Security,Reported disease outbreaks,Deleted,,,,
Crisis scope and scale,In-crisis,Food Security,Food preparation customs,"Common ways of preparing food, including type of cooking utensils, food hygiene, type of fuel, food etc.",Look for reports on when and when and how households prepare food.,,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
Crisis scope and scale,In-crisis,Food Security,Main food sources,"Sources for obtaining food, which could include food purchase, food production, borrowed food, food aid, gifts, barter or wild foods IN-CRISIS",Look main sources of food IN-CRISIS in recent food security assessments or multi-sectoral assessments. Compare the PRE-CRISIS to IN-CRISIS scores,Household,"WFP Assessment Bank, Food Security Cluster, Joint Food Security Assessments",
