Pillar,Phase,Theme,Sub-topic,ShortName,Narrower Terms,Description,How to
Capacities and Response,Preparedness/Pre-crisis,Coping Mechanisms,Traditional coping mechanisms,Coping mechanisms,,"Affected households may use coping strategies to deal with a reduced ability to access basic needs. Coping strategies include limiting portion size at mealtimes, begging and purchasing food on credit.","1st Priority: List in word document all known coping mechanisms (including source of information); 2nd Priority: List known coping mechanisms by geographic area, gender, age, socio-economic background (including source of information)"
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Adminstrative Boundaries,Administrative Boundaries,"Administrative level 0, Administrative level 1, Administrative level 2, Administrative level 3, Administrative level 4",,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Climate or precipitation,Climate,"Average Temperature, Average Precipitation
","Climate includes the lowest, highest average temperatures and mm of percipitation ",1st Priority: List or infographic of average min/max temperature and mm percipitation (5 year average) by month.  2nd Priority: map average min/mag temperature and mm percipitation by region
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Terrain/elevation,Terrain and elevation,,,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Transport Network,Transport Network,"Roads, Railways, Airports, Helipads, Seaports
",,
Crisis scope and scale,Preparedness/Pre-crisis,Geography and climate,Settlement data,Settlements,,,
Crisis scope and scale,Preparedness/Pre-crisis,Lessons Learned,Operational lessons learned from previous disasters,Operational lessons learned,,"Lessons learned from similar disasters globally or other disasters within the affected country. Lessons learned include insights on what works in terms of humanitarian response, what does not work, what was the impact of the crisis previously etc.","1st priority: List lessons learned of previous crisis within the affected area or similar crises within other regions within word document (including source of information). 2nd priority: Explain to what extend these lessons are relevant for the current crisis: are there similarities in terms of impact, type of population affected, seasonality, level of response?"
Crisis scope and scale,Preparedness/Pre-crisis,Population Profile,Socio-economic profile population,Socio-economic profile,"Livelihoods, Poverty, Religion, Language, Ethnicity, immigration, emigration, income, literacy",The socio-economic profile includes the following indicators: 1) % of the population by livelihood 2) % of the population living under the poverty line (and height of poverty line) 3) % of the population by religion 4) % of the population by main lanugage 5) % of the population by ethnicity 6) % of in-migration 7) % of out-migration 8) average household income (in local currency and USD) 9) literacy rate (age 15 and over can read and write),"1st priority: Look for large scale household studies (such as Demographic and Health Surveys (DHS), Multi Indicator Cluster Surveys (MICS), Labour Force Surveys, Poverty surveys etc. to find relevant statistiscs. In a spreadsheet, list the indicators (national level and affected area level if available) (including information source). Map relevant indicators by geographic area. "
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Electricity supply,Electricity supply,,,
Crisis scope and scale,Preparedness/Pre-crisis,Population Profile,Demography,Demography,"Age, Gender
",,
Crisis scope and scale,Preparedness/Pre-crisis,Infrastructure,Communication Channels,Communcation Channels,,"Coverage of tv, newspaper, radio, mobile phone penetration, internet coverage. Main methods in which people receive and share information.","1st priority: In a spreadsheet, list coverage of the different communication channels before the crisis. List the ain methods in which people receive and share information. (including information source). Map relevant indicators by geographic area. "
