#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
16_17,P17,,Key:addr:country|Key:country
16_18,P18,,Key:image|Key:kartaview|Key:mapillary|Key:wikimedia_commons
16_101,P101,,Key:craft
16_137,P137,,Key:operator:wikidata
16_138,P138,,Key:name:etymology
16_140,P140,,Key:denomination|Key:religion
16_149,P149,,Key:building:architecture
16_170,P170,,Key:artist:wikidata
16_186,P186,,Key:building:material
16_225,P225,,Key:species:wikidata
16_238,P238,,Key:iata
16_239,P239,,Key:icao
16_240,P240,,Key:faa
16_275,P275,,Key:license
16_276,P276,,Key:addr:neighbourhood|Key:addr:suburb
16_281,P281,,Key:addr:postcode|Key:postal_code
16_296,P296,,Key:railway:ref|Key:ref:train
16_300,P300,,Key:ISO3166-2
16_359,P359,,Key:ref:rce
16_373,P373,,Key:wikimedia_commons
16_374,P374,,Key:ref:INSEE
16_380,P380,,Key:ref:mhs
16_439,P439,,Key:de:amtlicher_gemeindeschluessel
16_457,P457,,Key:related_law
16_539,P539,,Key:ref:FR:museofile
16_571,P571,,Key:start_date
16_576,P576,,Key:end_date
16_580,P580,,Key:start_date
16_582,P582,,Key:end_date
16_587,P587,,Key:seamark:radio_station:mmsi|Key:seamark:virtual_aton:mmsi
16_590,P590,,Key:gnis:feature_id
16_641,P641,,Key:sport
16_649,P649,,Key:ref:nrhp
16_669,P669,,Key:addr:street
16_670,P670,,Key:addr:housenumber
16_722,P722,,Key:uic_ref
16_757,P757,,Key:ref:whc
16_772,P772,,Key:ref:ine
16_791,P791,,Key:ref:isil
16_808,P808,,Key:ref:bic
16_813,P813,,Key:check_date
16_836,P836,,Key:ref:gss
16_854,P854,,Key:source:url
16_856,P856,,Key:contact:website|Key:website
16_882,P882,,Key:nist:fips_code
16_912,P912,,Key:amenity
16_921,P921,,Key:subject:wikidata
16_964,P964,,Key:ref:at:gkz
16_968,P968,,Key:contact:email|Key:email
16_981,P981,,Key:ref:woonplaatscode
16_1011,P1011,,Key:except
16_1064,P1064,,Key:gauge
16_1077,P1077,,Key:koatuu
16_1082,P1082,,Key:population
16_1083,P1083,,Key:capacity
16_1101,P1101,,Key:building:levels
16_1139,P1139,,Key:building:levels:underground
16_1216,P1216,,Key:HE_ref
16_1281,P1281,,Key:woeid
16_1329,P1329,,Key:contact:phone|Key:phone
16_1336,P1336,,Key:claimed_by
16_1419,P1419,,Key:format
16_1448,P1448,,Key:official_name
16_1616,P1616,,Key:ref:FR:SIREN
16_1619,P1619,,Key:opening_date
16_1684,P1684,,Key:inscription
16_1716,P1716,,Key:brand:wikidata
16_1717,P1717,,Key:ref:sandre
16_1764,P1764,,Key:ref:OnroerendErfgoed
16_1813,P1813,,Key:short_name
16_1848,P1848,,Key:ref:FR:INPN
16_1889,P1889,,Key:not:name
16_1893,P1893,,Key:openplaques:id
16_1937,P1937,,Key:ref:LOCODE
16_1947,P1947,,Key:mapillary
16_1968,P1968,,Key:contact:foursquare
16_2002,P2002,,Key:contact:twitter|Key:twitter
16_2003,P2003,,Key:contact:instagram
16_2012,P2012,,Key:cuisine
16_2013,P2013,,Key:contact:facebook
16_2043,P2043,,Key:length
16_2044,P2044,,Key:ele
16_2048,P2048,,Key:height
16_2049,P2049,,Key:width
16_2253,P2253,,Key:ref:edubase
16_2257,P2257,,Key:interval
16_2326,P2326,,Key:GNS:id
16_2348,P2348,,Key:historic:period
16_2436,P2436,,Key:voltage
16_2547,P2547,,Key:circumference
16_2555,P2555,,Key:fee
16_2572,P2572,,Key:hashtags
16_2614,P2614,,Key:whc:criteria
16_2699,P2699,,Key:url
16_2815,P2815,,Key:esr:user
16_2846,P2846,,Key:wheelchair
16_2847,P2847,,Key:contact:google_plus
16_2899,P2899,,Key:min_age
16_2900,P2900,,Key:contact:fax|Key:fax
16_2951,P2951,,Key:ref:AT:bda|Key:ref:at:bda
16_2980,P2980,,Key:ref:arlhs
16_3025,P3025,,Key:opening_hours
16_3027,P3027,,Key:opening_hours
16_3028,P3028,,Key:opening_hours
16_3108,P3108,,Key:contact:yelp
16_3134,P3134,,Key:contact:tripadvisor
16_3202,P3202,,Key:ref:UAI
16_3215,P3215,,Key:ref:FR:SIRET
16_3424,P3424,,Key:ref:nid
16_3562,P3562,,Key:ref:admiralty
16_3563,P3563,,Key:ref:nga
16_3608,P3608,,Key:ref:vatin
16_3723,P3723,,Key:ref:uscg
16_3789,P3789,,Key:contact:telegram
16_3836,P3836,,Key:contact:pinterest
16_3863,P3863,,Key:ref:ef
16_3918,P3918,,Key:ref:FR:RNA
16_3920,P3920,,Key:ref:ccg
16_4033,P4033,,Key:contact:mastodon
16_4058,P4058,,Key:ref:FR:FINESS
16_4135,P4135,,Key:max_age
16_4136,P4136,,Key:ref:wigos
16_4184,P4184,,Key:incline
16_4219,P4219,,Key:ref:at:tkk
16_4238,P4238,,Key:contact:webcam|Tag:surveillance=webcam
16_4245,P4245,,Key:ref:RS:nkd
16_4533,P4533,,Key:ref:ruian:street
16_4755,P4755,,Key:ref:crs
16_4856,P4856,,Key:addr:conscriptionnumber
16_5208,P5208,,Key:ref:bag
16_5423,P5423,,Key:level
16_6082,P6082,,Key:nycdoitt:bin
16_7526,P7526,,Key:ref:ruian
16_7606,P7606,,Key:ref:ruian
16_7625,P7625,,Key:ref:wpi
16_7883,P7883,,Key:ref:hmdb
16_8414,P8414,,Key:ref:FR:Allocine
16_8430,P8430,,Key:ref:wien:kultur
16_8626,P8626,,Key:opening_hours
16_8627,P8627,,Key:opening_hours
16_8645,P8645,,Key:ref:EU:ENTSOE_EIC
16_9737,P9737,,Key:ref:wmo
16_10016,P10016,,Key:ref:refuges.info
16_10682,P10682,,Key:ref:US:EIA
