"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
"Camp Coordination / Management, Early Recovery, Education, Emergency Shelter and NFI, Emergency Telecommunications, Food Security, Health, Logistics, Nutrition, Protection, Water Sanitation Hygiene",AAP-1,"Feedback Mechanisms","Number of feedback received (including complaints) which have been acted upon","Feedback mechanisms provide a means for all those affected to comment on and thus indirectly influence programme planning and implementation (see HAP’s ‘participation’ benchmark). They include focus group discussions, surveys, interviews and meetings on ‘lessons learnt’ with a representative sample of all the affected population (see ECB’s Good Enough Guide for tools and Guidance notes 3–4). The findings and the agency’s actions in response to feedback should be systematically shared with the affected population. (Sphere Core Standard 1, Guidance Note 2)

Possible examples:


	% of women/girls and % of men/boys satisfied with the quality and appropriateness of response at the end of the project
	# of text messages received daily and acted upon according to the agreed/established procedures ",N/A,,"Feedback mechanisms can take many forms. Whatever the most appropriate channels are should be used; radio talk back programmes, online surveys, sms and twitter inputs, regularised focus group discussions with selected members of the population, suggestions and complaints boxes, designation of sector or camp committees to feedback on specific topics, prioritisation assessments, through dedicated community engagement staff among many other possibilities. Sex, age, ability or other relevant diversity disaggregation of the feedback received is important in order to understand who is most at risk and to take responsible actions. It is important to remember that feedback needs to be collected, digested and acted upon, and then the results of those actions relayed to the population, then another round of feedback can begin on the changed situation. This is the 'feedback loop' - an ongoing dialogue between the humanitarian community and the affected population. Remember that much of this is already happening - through food monitors, community outreach programmes, ongoing assessments - the important thing is to keep the feedback loop continuing.",,"All Phases",Yes,Yes,,"Number of  organisations with formal feedback mechanisms in place","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(C) Camp Coordination / Management, C1 Community engagement and self-empowerment, C1.1 Displacement Site Managers, C1.2 CCCM Mechanisms, C2 Population information management, C2.1 CCCM Mechanisms, C2.2 Return/ Relocation/ Integration, C2.3 Service Provision, C3 Protection and services monitoring and coordination, C3.1 Displacement Site Managers, C3.2 Service Provision - WASH, C3.3 CCCM Mechanisms, C3.4 Service Provision - Protection, C3.5 Service Provision - Food and Nutrition, C3.6 Service Provision - Education, C3.7 Protection, C3.8 Access and Movement, C3.9 Service Provision - WASH &/or Shelter, C3.10 Service Provision - Health, C3.11 Service Provision - Shelter, C4 Camp planning and durable solutions, C4.1 Return/ Relocation/ Integration, (E) Education, E1 Access and Learning Environment, E1.1 Equal Access, E1.2 Facilities and services, E1.3 Protection and Well-being, E2 Teaching and Learning, E2.1 Curricula, E3 Teachers & other education personnel, E3.1 Law and Policy Formulation, E3.2 Recruitment and Selection, E3.3 Supervision, E4 Educational Policy, E4.1 Law and Policy Formulation, (F) Food Security, F1 Food Assistance, F1.1 Cash Transfer, F1.2 Voucher Transfer, F1.3 In-kind Transfer, F1.4 Livelihood Recovery, F2 Livelihood Assistance, F2.1 Cash Transfer, F2.2 Voucher Transfer, F2.3 In-kind Transfer, F3 Food Access, F4 Income Access, F5 Market Access, F6 Availability, F6.1 Food Availability and Agriculture, F6.2 Livestock, F7 Utilization, F8 Agriculture and Livestock, (H) Health, H1 General clinical services & essential trauma care, H2 Child health, H3 Communicable diseases, H4 Sexual and Reproductive Health, H4.1 STI & HIV, H4.2 Maternal and newborn care, H4.3 Sexual violence, H5 Non communicable diseases and mental health, H6 Environmental Health, (L) Logistics, L1 Volume, L2 Weight, (N) Nutrition, N1 Prevention and Management of Acute Malnutrition, N1.1 SAM, N1.2 MAM, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies, (P) Protection, P1 (PC) Child Protection, PC1 Dangers and Injuries, PC2 Physical violence and other harmful practices, PC3 Sexual violence, PC4 Psychosocial distress and mental disorders, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children, PC8 Justice for Children, PC9 Community-based child protection mechanisms (CBCPM), P2 (PG) Gender-Based Violence, PG1 Developing Referral Pathway for Survivors, PG2 Develop/apply SOPs context specific, PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), PG4 Advocacy, awareness, education with affected populations, local authorities, international community, PG5 Data collection, storage and sharing, PG6 Prevention Programming, P3 (PL) Housing Land and Property, PL1 HLP Documentation, PL2 Access to Land, PL3 HLP Disputes, PL4 Security of tenure for informal rights holders or vulnerable groups, P4 (PM) Mine Action, PM1 Clearance of Mines and other Explosive Remnants of War (ERW), PM2 Mine and ERW risk education, PM3 Stockpile destruction, PM4 Victim Assistance, P5 Vulnerability, P6 Displacement and Return, P7 Documentation, (R) Early Recovery, R1 Economic Recovery and Livelihoods, R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, (S) Emergency Shelter and NFI, S1 Shelter, S1.1 Access, S1.2 Assistance, S2 Shelter-related NFI, S2.1 Access, S2.2 Assistance, S3 Shelter-related Fuel/Energy, S3.1 Access, S3.2 Assistance, (T) Emergency Telecommunications, T1 ICT Performance, T2 ETC Coordination, (W) Water Sanitation Hygiene, W1 Hygiene Promotion, W1.1 Hygiene items, W1.2 Hygiene Practices, W2 Water Supply, W2.1 Access and Water Quantity, W2.2 Water Quality, W2.3 Water Facilities, W3 Excreta Disposal, W3.1 Environment, W3.2 Toilet Facilities, W4 Vector Control, W5 Solid Waste Management, W6 Drainage, W7 Aggravating Factors, W8 WASH Programme Design and Implementation",,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Section 5: Use feedback to improve project impact",,,Process,Number,Institution
"Food Security, Health, Logistics, Protection, Nutrition, Water Sanitation Hygiene, Camp Coordination / Management, Education, Emergency Shelter and NFI, Emergency Telecommunications, Early Recovery",AAP-2,"Sharing Information","Number of information products distributed to the affected population through a variety of mechanisms on humanitarian program planning, functioning and progress","People have a right to accurate and updated information about actions taken on their behalf. Information can reduce anxiety and is an essential foundation of community responsibility and ownership. At a minimum, clusters and agencies should provide a description of the cluster's role and responsibilities, agency’s mandate and project(s), the population’s entitlements and rights, and when and where to access assistance (see HAP’s ‘sharing information’ benchmark). (Sphere Core Standard 1, Guidance Note 4)

Possible examples:


	# of ‘Frequently Asked Questions’ documents about the work of the cluster disseminated
	# of talkback radio programmes joined to explain response planning and selection criteria of cluster to affected population ",N/A,,"Common ways of sharing information include noticeboards, public meetings, schools, newspapers, SMS 'blasts', FAQ flyers or radio and TV broadcasts. The information should demonstrate considered understanding of people’s situations and be conveyed in local language(s), using a variety of adapted media so that it is accessible to all those concerned. For example, use spoken communications or pictures for children and adults who cannot read, use uncomplicated language (i.e. understandable to local 12-year-old) and employ a large typeface when printing information for people with visual impairments. Manage meetings so that older people or those with hearing difficulties can hear. Sex, age, ability or other relevant diversity must be considered when preparing information products as is important in order to understand who is able to access information.",,"All Phases",Yes,Yes,,"# of information messages delivered","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(C) Camp Coordination / Management, C1 Community engagement and self-empowerment, C1.1 Displacement Site Managers, C1.2 CCCM Mechanisms, C2 Population information management, C2.1 CCCM Mechanisms, C2.2 Return/ Relocation/ Integration, C2.3 Service Provision, C3 Protection and services monitoring and coordination, C3.1 Displacement Site Managers, C3.2 Service Provision - WASH, C3.3 CCCM Mechanisms, C3.4 Service Provision - Protection, C3.5 Service Provision - Food and Nutrition, C3.6 Service Provision - Education, C3.7 Protection, C3.8 Access and Movement, C3.9 Service Provision - WASH &/or Shelter, C3.10 Service Provision - Health, C3.11 Service Provision - Shelter, C4 Camp planning and durable solutions, C4.1 Return/ Relocation/ Integration, (E) Education, E1 Access and Learning Environment, E1.1 Equal Access, E1.2 Facilities and services, E1.3 Protection and Well-being, E2 Teaching and Learning, E2.1 Curricula, E3 Teachers & other education personnel, E3.1 Law and Policy Formulation, E3.2 Recruitment and Selection, E3.3 Supervision, E4 Educational Policy, E4.1 Law and Policy Formulation, (F) Food Security, F1 Food Assistance, F1.1 Cash Transfer, F1.2 Voucher Transfer, F1.3 In-kind Transfer, F1.4 Livelihood Recovery, F2 Livelihood Assistance, F2.1 Cash Transfer, F2.2 Voucher Transfer, F2.3 In-kind Transfer, F3 Food Access, F4 Income Access, F5 Market Access, F6 Availability, F6.1 Food Availability and Agriculture, F6.2 Livestock, F7 Utilization, F8 Agriculture and Livestock, (H) Health, H1 General clinical services & essential trauma care, H2 Child health, H3 Communicable diseases, H4 Sexual and Reproductive Health, H4.1 STI & HIV, H4.2 Maternal and newborn care, H4.3 Sexual violence, H5 Non communicable diseases and mental health, H6 Environmental Health, (L) Logistics, L1 Volume, L2 Weight, (N) Nutrition, N1 Prevention and Management of Acute Malnutrition, N1.1 SAM, N1.2 MAM, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies, (P) Protection, P1 (PC) Child Protection, PC1 Dangers and Injuries, PC2 Physical violence and other harmful practices, PC3 Sexual violence, PC4 Psychosocial distress and mental disorders, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children, PC8 Justice for Children, PC9 Community-based child protection mechanisms (CBCPM), P2 (PG) Gender-Based Violence, PG1 Developing Referral Pathway for Survivors, PG2 Develop/apply SOPs context specific, PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), PG4 Advocacy, awareness, education with affected populations, local authorities, international community, PG5 Data collection, storage and sharing, PG6 Prevention Programming, P3 (PL) Housing Land and Property, PL1 HLP Documentation, PL2 Access to Land, PL3 HLP Disputes, PL4 Security of tenure for informal rights holders or vulnerable groups, P4 (PM) Mine Action, PM1 Clearance of Mines and other Explosive Remnants of War (ERW), PM2 Mine and ERW risk education, PM3 Stockpile destruction, PM4 Victim Assistance, P5 Vulnerability, P6 Displacement and Return, P7 Documentation, (R) Early Recovery, R1 Economic Recovery and Livelihoods, R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, (S) Emergency Shelter and NFI, S1 Shelter, S1.1 Access, S1.2 Assistance, S2 Shelter-related NFI, S2.1 Access, S2.2 Assistance, S3 Shelter-related Fuel/Energy, S3.1 Access, S3.2 Assistance, (T) Emergency Telecommunications, T1 ICT Performance, T2 ETC Coordination, (W) Water Sanitation Hygiene, W1 Hygiene Promotion, W1.1 Hygiene items, W1.2 Hygiene Practices, W2 Water Supply, W2.1 Access and Water Quantity, W2.2 Water Quality, W2.3 Water Facilities, W3 Excreta Disposal, W3.1 Environment, W3.2 Toilet Facilities, W4 Vector Control, W5 Solid Waste Management, W6 Drainage, W7 Aggravating Factors, W8 WASH Programme Design and Implementation",,"HAP Benchmark 3 on Sharing information, Sphere Core Standard 1: People-centered humanitarian response",,,Process,Number,Community
"Food Security, Health, Logistics, Protection, Nutrition, Water Sanitation Hygiene, Camp Coordination / Management, Education, Emergency Shelter and NFI, Emergency Telecommunications, Early Recovery",AAP-3,Participation,"Number of persons consulted (disaggregated by sex/age) before designing a program/project [alternatively: while implementing the program/project]","Participation in design of assessments, programmes, evaluations etc, means that a selected segment(s) of the affected populaiton have a direct influence on decision making.  Measures should be taken to ensure the participation of members of all groups of affected people – young and old, men and women. Special efforts should be made to include people who are not well represented, are marginalised (e.g. by ethnicity or religion) or otherwise ‘invisible’ (e.g. housebound or in an institution). The participation of youth and children should be promoted so far as it is in their own best interest and measures taken to ensure that they are not exposed to abuse or harm. (Sphere Core Standard 1, Guidance Note 3)

Possible examples:


	# of focus group discussions organized with affected girls, women, boys and men that have been used to influence decisions made on design of assessments, programmes, standards, selection criteria, etc.
	% of female and % of male parents actively participating in the conception and implementation of M&E of education in emergencies services. ",N/A,,"Understanding and addressing the barriers to participation faced by different people is critical to balanced participation. How a cluster or organisation enables key stakeholders to play an active role in the decision-making processes that affect them. It is unrealistic to expect an organisation to engage with all stakeholders over all decisions all of the time. Therefore the organisation must have clear guidelines (and practices) enabling it to prioritize stakeholders appropriately and to be responsive to the differences in power between them.  Mechanisms need to be in place to ensure that the most marginalized and affected are represented and have influence. Participation here also encompasses the processes through which an organisation or cluster monitors and reviews its progress and results against goals and objectives; feeds learning back into the organisation on an on-going basis; and reports on the results of the process. To increase accountability to stakeholders, goals and objectives must be also designed in consultation with those stakeholders. A well known example of participation in developing indicators is the WASH indicator developed by a community which was - ""# of hours girls spend in school"" - highlighting the importance of education to the community, and also that improved water access had improved education possibilities. So the indicator has a measurement of impact built into it, the improved water access as an outcome can be assumed.",,"All Phases",Yes,Yes,,"number of persons consulted","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(C) Camp Coordination / Management, C1 Community engagement and self-empowerment, C1.1 Displacement Site Managers, C1.2 CCCM Mechanisms, C2 Population information management, C2.1 CCCM Mechanisms, C2.2 Return/ Relocation/ Integration, C2.3 Service Provision, C3 Protection and services monitoring and coordination, C3.1 Displacement Site Managers, C3.2 Service Provision - WASH, C3.3 CCCM Mechanisms, C3.4 Service Provision - Protection, C3.5 Service Provision - Food and Nutrition, C3.6 Service Provision - Education, C3.7 Protection, C3.8 Access and Movement, C3.9 Service Provision - WASH &/or Shelter, C3.10 Service Provision - Health, C3.11 Service Provision - Shelter, C4 Camp planning and durable solutions, C4.1 Return/ Relocation/ Integration, (E) Education, E1 Access and Learning Environment, E1.1 Equal Access, E1.2 Facilities and services, E1.3 Protection and Well-being, E2 Teaching and Learning, E2.1 Curricula, E3 Teachers & other education personnel, E3.1 Law and Policy Formulation, E3.2 Recruitment and Selection, E3.3 Supervision, E4 Educational Policy, E4.1 Law and Policy Formulation, (F) Food Security, F1 Food Assistance, F1.1 Cash Transfer, F1.2 Voucher Transfer, F1.3 In-kind Transfer, F1.4 Livelihood Recovery, F2 Livelihood Assistance, F2.1 Cash Transfer, F2.2 Voucher Transfer, F2.3 In-kind Transfer, F3 Food Access, F4 Income Access, F5 Market Access, F6 Availability, F6.1 Food Availability and Agriculture, F6.2 Livestock, F7 Utilization, F8 Agriculture and Livestock, (H) Health, H1 General clinical services & essential trauma care, H2 Child health, H3 Communicable diseases, H4 Sexual and Reproductive Health, H4.1 STI & HIV, H4.2 Maternal and newborn care, H4.3 Sexual violence, H5 Non communicable diseases and mental health, H6 Environmental Health, (L) Logistics, L1 Volume, L2 Weight, (N) Nutrition, N1 Prevention and Management of Acute Malnutrition, N1.1 SAM, N1.2 MAM, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies, (P) Protection, P1 (PC) Child Protection, PC1 Dangers and Injuries, PC2 Physical violence and other harmful practices, PC3 Sexual violence, PC4 Psychosocial distress and mental disorders, PC5 Children associated with armed forces and armed groups, PC6 Child Labour, PC7 Unaccompanied and separated children, PC8 Justice for Children, PC9 Community-based child protection mechanisms (CBCPM), P2 (PG) Gender-Based Violence, PG1 Developing Referral Pathway for Survivors, PG2 Develop/apply SOPs context specific, PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), PG4 Advocacy, awareness, education with affected populations, local authorities, international community, PG5 Data collection, storage and sharing, PG6 Prevention Programming, P3 (PL) Housing Land and Property, PL1 HLP Documentation, PL2 Access to Land, PL3 HLP Disputes, PL4 Security of tenure for informal rights holders or vulnerable groups, P4 (PM) Mine Action, PM1 Clearance of Mines and other Explosive Remnants of War (ERW), PM2 Mine and ERW risk education, PM3 Stockpile destruction, PM4 Victim Assistance, P5 Vulnerability, P6 Displacement and Return, P7 Documentation, (R) Early Recovery, R1 Economic Recovery and Livelihoods, R2 Basic Infrastructure Restoration, R3 Capacity Building, R4 Governance, (S) Emergency Shelter and NFI, S1 Shelter, S1.1 Access, S1.2 Assistance, S2 Shelter-related NFI, S2.1 Access, S2.2 Assistance, S3 Shelter-related Fuel/Energy, S3.1 Access, S3.2 Assistance, (T) Emergency Telecommunications, T1 ICT Performance, T2 ETC Coordination, (W) Water Sanitation Hygiene, W1 Hygiene Promotion, W1.1 Hygiene items, W1.2 Hygiene Practices, W2 Water Supply, W2.1 Access and Water Quantity, W2.2 Water Quality, W2.3 Water Facilities, W3 Excreta Disposal, W3.1 Environment, W3.2 Toilet Facilities, W4 Vector Control, W5 Solid Waste Management, W6 Drainage, W7 Aggravating Factors, W8 WASH Programme Design and Implementation",,"HAP Benchmark 4 on Participation, Sphere Core Standard 1: People-centered humanitarian response, The Good Enough Guide - Tool 3: How to involve people throughout the project",,,Process,Number,Institution
"Camp Coordination / Management",CM-01,"C2 Population information management","Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)","The number of people in need of different types of assistance will need to be defined at the national and local level. This data is already recorded as a COD and will feed into other indicators.",n/a,"Displacement site; type of displacement site (camps, spontaneous sites and collective centres) ; sex, age, disability, and other diversity concerns",,n/a,"As per Indicator description the quality of data collection sources will improve over the duration of the emergency with population profiling early in the emergency and registration in later phases.",No,Yes,,"Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","C2 Population information management, E1.1 Equal Access, F1 Food Assistance, F1.4 Livelihood Recovery, F8 Agriculture and Livestock, H1 General clinical services & essential trauma care, (N) Nutrition, P6 Displacement and Return, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,,,n/a,Baseline,Estimation,Population
"Camp Coordination / Management",CM-02,"C2 Population information management","Number of displacement sites","This data is already recorded and available as a FOD and will feed into other indicators.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; Type of displacement site (camps, spontaneous sites and collective centres)",,,"New L3 Emergency -Phase 1-4",No,Yes,,"Number of spontaneous displacement sites","Phase 1,  Phase 2, Phase 3, Phase 4","C2 Population information management, E1.1 Equal Access, F1 Food Assistance, F1.4 Livelihood Recovery, F8 Agriculture and Livestock, H1 General clinical services & essential trauma care, (N) Nutrition, P6 Displacement and Return, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,,,,Baseline,"Number and Percentage (spontaneous)","Displacement sites"
"Camp Coordination / Management",CM-03,"C2 Population information management","Number and percentage of IDP population living in displacement sites that have been registered at the household level","This can express a need in terms of people requiring registration, or an output in terms of what partners have done to register displaced people by sex and age.","Total estimated number displaced people living in displacement sites (this includes camps, spontaneous sites and collective centres)","Displacement site; sex, age, disability, and other diversity concerns",,,"New L3 Emergency - Phases 3-4",Yes,Yes,,"Number of people registered by household registration living in displacement sites","Phase 3, Phase 4","C2 Population information management, (E) Education, F1 Food Assistance, F1.4 Livelihood Recovery, F8 Agriculture and Livestock, H1 General clinical services & essential trauma care, (N) Nutrition, P6 Displacement and Return, P7 Documentation, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,"Camp Management Toolkit (Chapters 5, 9)",,,Baseline,"Number and Percentage (IDP)",Population
"Camp Coordination / Management",CM-04,"C2 Population information management","Number and percentage of IDP populations living in displacement sites in urban areas.","This indicator is concerned with displacement sites in urban areas with sex and age disaggregation. The definition of an urban area should be decided at national level.","Overall number of displacement sites identified/estimated in urban areas","Displacement site; site type; population size.  If displacement sites vary significantly by size, it may be necessary to disaggregate by population size or displacement site type (eg collective centre/ spontaneous site) ; sex, age, disability, and other diversity concerns",,,"As per Indicator description the quality of data collection sources will improve over the duration of the emergency with population profiling early in the emergency and registration in later phases.",No,No,,"Number of displaced people living in displacement sites in urban areas","Phase 1,  Phase 2, Phase 3, Phase 4","C2 Population information management, E1.1 Equal Access, F1 Food Assistance, F1.4 Livelihood Recovery, F8 Agriculture and Livestock, H1 General clinical services & essential trauma care, (N) Nutrition, P6 Displacement and Return, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,,,,Baseline,"Number and Percentage",Population
"Camp Coordination / Management",CM-05,"C2 Population information management","Number and percentage of displacement sites in urban areas receiving urban site management services.","This indicator is concerned with displacement sites in urban areas. The definition of an urban area should be decided at national level. 'Urban site management services' include CCCM mechanisms such as population statistics monitoring, self governance mechanisms, monitoring service provision, site manager.","Overall number of displacement sites identified/estimated in urban areas","Displacement site; site type; population size.  If displacement sites vary significantly by size, it may be necessary to disaggregate by population size or displacement site type (eg collective centre/ spontaneous site); sex, age, disability, and other diversity concerns of service users",,,"New L3 Emergency - Phase 4.",Yes,No,,"Number of displacement sites in urban areas receiving urban site management services","Phase 4","C2 Population information management, (E) Education, F1 Food Assistance, F8 Agriculture and Livestock, F1.4 Livelihood Recovery, H1 General clinical services & essential trauma care, (N) Nutrition, P5 Vulnerability, P6 Displacement and Return, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,,,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-06,"C2 Population information management","Estimated number and percentage of displaced persons in displacement sites without documentation","This indicator is linked to the registration process when displaced people's documents can be seen","Total number of displaced persons","Type of registration documentation; Vulnerable persons by sex and age",,,"New L3 Emergency -  Phase 1-2",No,No,,"Number of displaced persons without documentation","Phase 1,  Phase 2","C3 Protection and services monitoring and coordination, C4 Camp planning and durable solutions, P3 (PL) Housing Land and Property, P5 Vulnerability, P6 Displacement and Return, P7 Documentation, (R) Early Recovery, S2 Shelter-related NFI",,"Camp Management Toolkit (Chapters 8, 9)",,,Baseline,"Number and Percentage","Displaced persons"
"Camp Coordination / Management",CM-07,"C2.1 CCCM Mechanisms","Number and percentage of displacement sites with established CCCM mechanisms","Sites which have any one of the following mechanisms operational - population statistics monitoring by sex and age, women's committees, and camp committees with women representation, self governance mechanisms, monitoring service provision, site manager","Overall number of displacement sites identified/estimated of the emergency","Displacement site; Types of mechanisms (population statistics monitoring, self governance mechanisms, monitoring service provision) ; sex, age, disability, and other diversity concerns","CCCM mechanisms could include administrative, management and/or coordination structures.",,"New L3 Emergency - Phase 4; Early phases may use displacement profiling; and later phases likely to use registration. Although registration is always recommended where possible.",Yes,Yes,,"Number of displacement sites with established CCCM mechanisms","Phase 4","C2 Population information management, (P) Protection, S1 Shelter, S2 Shelter-related NFI, (N) Nutrition",,,,,Output,"Number and Percentage","Displacement sites"
